month,region,district,industry,age_group,payment_amount,transaction_count,avg_ticket,event_participation,revisit_rate,merchant_count,gender,source_date,source
2025-11,수원시 권선구,곡선동,레저/스포츠 서비스,10대,160713,32,5022,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,문화/취미,10대,2923,1,2923,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,미용/위생,10대,111564,8,13946,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,서적/문구/학습자재,10대,1029,4,257,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,약국,10대,19908,6,3318,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,용역서비스,10대,1363,1,1363,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,음료/식품,10대,30460,14,2176,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,의원,10대,13107,3,4369,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,일반/휴게 음식,10대,433478,63,6881,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,일반유통,10대,96910,33,2937,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,자동차 정비/유지,10대,40000,1,40000,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,학원,10대,404628,17,23802,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,기타의료,20대,405450,2,202725,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,레저/문화 용품,20대,2325,1,2325,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,레저/스포츠 서비스,20대,474085,80,5926,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,문화/취미,20대,175110,35,5003,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,미용/위생,20대,1259758,76,16576,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,서적/문구/학습자재,20대,2232,4,558,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,신변잡화,20대,17897,8,2237,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,약국,20대,283268,39,7263,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,용역서비스,20대,94830,25,3793,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,음료/식품,20대,790679,147,5379,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,의류,20대,180000,2,90000,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,의원,20대,1010492,29,34845,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,일반/휴게 음식,20대,8679389,913,9506,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,일반유통,20대,2830075,533,5310,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,자동차 정비/유지,20대,204329,3,68110,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,주유/충전소,20대,27935,5,5587,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,학원,20대,256633,17,15096,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,기타의료,30대,1365722,25,54629,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,레저/문화 용품,30대,354320,20,17716,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,레저/스포츠 서비스,30대,1007813,244,4130,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,문화/취미,30대,285144,352,810,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,미용/위생,30대,2644503,213,12416,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,서적/문구/학습자재,30대,429243,30,14308,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,신변잡화,30대,5803,5,1161,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,약국,30대,830539,403,2061,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,용역서비스,30대,340869,52,6555,미확인,0.35,1,남,2026-01-20,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
