month,region,district,gender,age_group,industry,transaction_count,payment_amount,source_date,avg_ticket,source
2025-11,수원시 권선구,곡선동,남,10대,레저/스포츠 서비스,32,160713,2026-01-20,5022,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,10대,문화/취미,1,2923,2026-01-20,2923,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,10대,미용/위생,8,111564,2026-01-20,13946,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,10대,서적/문구/학습자재,4,1029,2026-01-20,257,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,10대,약국,6,19908,2026-01-20,3318,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,10대,용역서비스,1,1363,2026-01-20,1363,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,10대,음료/식품,14,30460,2026-01-20,2176,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,10대,의원,3,13107,2026-01-20,4369,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,10대,일반/휴게 음식,63,433478,2026-01-20,6881,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,10대,일반유통,33,96910,2026-01-20,2937,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,10대,자동차 정비/유지,1,40000,2026-01-20,40000,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,10대,학원,17,404628,2026-01-20,23802,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,기타의료,2,405450,2026-01-20,202725,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,레저/문화 용품,1,2325,2026-01-20,2325,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,레저/스포츠 서비스,80,474085,2026-01-20,5926,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,문화/취미,35,175110,2026-01-20,5003,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,미용/위생,76,1259758,2026-01-20,16576,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,서적/문구/학습자재,4,2232,2026-01-20,558,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,신변잡화,8,17897,2026-01-20,2237,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,약국,39,283268,2026-01-20,7263,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,용역서비스,25,94830,2026-01-20,3793,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,음료/식품,147,790679,2026-01-20,5379,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,의류,2,180000,2026-01-20,90000,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,의원,29,1010492,2026-01-20,34845,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,일반/휴게 음식,913,8679389,2026-01-20,9506,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,일반유통,533,2830075,2026-01-20,5310,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,자동차 정비/유지,3,204329,2026-01-20,68110,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
2025-11,수원시 권선구,곡선동,남,20대,주유/충전소,5,27935,2026-01-20,5587,공공데이터포털_경기도 수원시_지역화폐 결제 정보_20260120
