bizesNm,indsLclsNm,indsMclsNm,sigunguNm,sigunguDetailNm,adongNm,rdnAdr,indsSclsNm,ctprvnNm,signguNm
영영쌤과학실험교습소,교육,일반 교육,경기도,수원시 장안구,율천동,경기도 수원시 장안구 화산로 85,미제공,미제공,미제공
수원역세권공인중개사사무소,부동산,부동산 서비스,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 매산로 17,미제공,미제공,미제공
에이치샵,수리·개인,이용·미용,경기도,수원시 팔달구,지동,경기도 수원시 팔달구 세지로 347,미제공,미제공,미제공
옹고집식당,음식,기타 간이,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 세지로 196,미제공,미제공,미제공
피이브이유한책임회사,과학·기술,본사·경영 컨설팅,경기도,수원시 영통구,영통3동,경기도 수원시 영통구 반달로7번길 40,미제공,미제공,미제공
신포르테피아노교습소,교육,기타 교육,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 세권로108번길 33-4,미제공,미제공,미제공
서울이룸정신건강의학과의원,보건의료,의원,경기도,수원시 영통구,망포2동,경기도 수원시 영통구 덕영대로 1478,미제공,미제공,미제공
화이트독,소매,애완동물·용품 소매,경기도,수원시 장안구,영화동,경기도 수원시 장안구 장안로 29,미제공,미제공,미제공
뮤직캐슬피아노,교육,기타 교육,경기도,수원시 영통구,망포2동,경기도 수원시 영통구 덕영대로 1410,미제공,미제공,미제공
보조개한의원,보건의료,의원,경기도,수원시 영통구,망포2동,경기도 수원시 영통구 덕영대로 1478,미제공,미제공,미제공
풍림농산,소매,식료품 소매,경기도,수원시 팔달구,우만2동,경기도 수원시 팔달구 권광로364번길 7-2,미제공,미제공,미제공
다이소수원,소매,종합 소매,경기도,수원시 장안구,연무동,경기도 수원시 장안구 창룡대로 185,미제공,미제공,미제공
믿음열쇠,소매,철물·건설자재 소매,경기도,수원시 팔달구,화서1동,경기도 수원시 팔달구 화양로 3,미제공,미제공,미제공
에쎈바이오,소매,가전·통신 소매,경기도,수원시 권선구,평동,경기도 수원시 권선구 산업로155번길 280-23,미제공,미제공,미제공
현대화그릇점,소매,종합 소매,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 덕영대로943번길 32,미제공,미제공,미제공
디테일왕,수리·개인,자동차 수리·세차,경기도,수원시 권선구,평동,경기도 수원시 권선구 매송고색로 849,미제공,미제공,미제공
오로라,음식,비알코올 ,경기도,수원시 권선구,곡선동,경기도 수원시 권선구 동수원로146번길 80,미제공,미제공,미제공
제니스짐,예술·스포츠,스포츠 서비스,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 덕영대로 905,미제공,미제공,미제공
탑동온누리약국,소매,의약·화장품 소매,경기도,수원시 권선구,서둔동,경기도 수원시 권선구 탑동로 66,미제공,미제공,미제공
헤어그라시아,수리·개인,이용·미용,경기도,수원시 영통구,영통3동,경기도 수원시 영통구 매영로310번길 87,미제공,미제공,미제공
에오스,음식,주점,경기도,수원시 팔달구,화서1동,경기도 수원시 팔달구 동말로67번길 6,미제공,미제공,미제공
김밥클래스뉴코아아울렛동,음식,기타 간이,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 인계로 154,미제공,미제공,미제공
현대농축산마트,소매,종합 소매,경기도,수원시 권선구,곡선동,경기도 수원시 권선구 곡반정로65번길 19,미제공,미제공,미제공
김밥플러스,음식,기타 간이,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 정조로 567,미제공,미제공,미제공
2참외사과세요,소매,식료품 소매,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 에듀타운로 25,미제공,미제공,미제공
윤가네마포구이,음식,한식,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 권선로683번길 17,미제공,미제공,미제공
화인맨파워,시설관리·임대,고용 알선,경기도,수원시 팔달구,매교동,경기도 수원시 팔달구 정조로 711,미제공,미제공,미제공
