bizesNm,indsLclsNm,indsMclsNm,adongNm,sigunguNm,sigunguDetailNm,rdnAdr
오땡큐블루커트,수리·개인,이용·미용,금호1동,광주광역시,서구,광주광역시 서구 금화로149번길 27
정비대장,수리·개인,자동차 수리·세차,신가동,광주광역시,광산구,광주광역시 광산구 목련로 371
모다,소매,섬유·의복·신발 소매,화정4동,광주광역시,서구,광주광역시 서구 월드컵4강로 75
큰소리내는사람들,교육,기타 교육,상무2동,광주광역시,서구,광주광역시 서구 운천로113번길 23
중앙상사,소매,철물·건설자재 소매,송정2동,광주광역시,광산구,광주광역시 광산구 내상로 37
다솜,소매,의약·화장품 소매,월곡1동,광주광역시,광산구,광주광역시 광산구 월곡중앙로37번길 19
피드마케팅,과학·기술,광고,비아동,광주광역시,광산구,광주광역시 광산구 비아로127번길 42
아이포스,시설관리·임대,산업용품 대여,송정2동,광주광역시,광산구,광주광역시 광산구 평동로1119번길 25
시에스엔터테인먼트,시설관리·임대,고용 알선,동림동,광주광역시,북구,광주광역시 북구 하남대로 679
세운개발,부동산,부동산 서비스,지산1동,광주광역시,동구,광주광역시 동구 동명로 110
설렘담,음식,기타 간이,사직동,광주광역시,남구,광주광역시 남구 천변좌로370번안길 2-4
온화명,음식,비알코올 ,양림동,광주광역시,남구,광주광역시 남구 서서평길 18-1
송산유원지집단급식소,음식,구내식당·뷔페,어룡동,광주광역시,광산구,광주광역시 광산구 박호등임로 95
슬기로운재활병원,보건의료,병원,어룡동,광주광역시,광산구,광주광역시 광산구 상무대로 271
광주미래병원,보건의료,병원,문화동,광주광역시,북구,광주광역시 북구 두리봉길 59
세컨드가든비,소매,식물 소매,어룡동,광주광역시,광산구,광주광역시 광산구 동곡로 735
첨단1에듀플렉스심리상담연구소,보건의료,기타 보건,신용동,광주광역시,북구,광주광역시 북구 첨단연신로107번길 33
광주효천1지구한우리독서토론논술교습소,교육,일반 교육,송암동,광주광역시,남구,광주광역시 남구 효천2로가길 21
만민상조토탈,수리·개인,장례식장 ,문화동,광주광역시,북구,광주광역시 북구 중문로84번길 54
이지스터디센터문흥독서실,예술·스포츠,도서관·사적지,문흥1동,광주광역시,북구,광주광역시 북구 서하로 377
세하동시내버스구내식당,음식,구내식당·뷔페,서창동,광주광역시,서구,광주광역시 서구 눌재로 470
복음내과의원,보건의료,의원,봉선2동,광주광역시,남구,광주광역시 남구 봉선2로 39-3
별빛다육화분,소매,식물 소매,풍암동,광주광역시,서구,광주광역시 서구 회재로 1097
강진옹기,소매,기타 생활용품 소매,건국동,광주광역시,북구,광주광역시 북구 우치로 834
광주중고명품레드,소매,중고 상품 소매,수완동,광주광역시,광산구,광주광역시 광산구 장신로 52
다온기술사무소,과학·기술,기술 서비스,금호2동,광주광역시,서구,광주광역시 서구 화개중앙로3번길 2
연우,수리·개인,이용·미용,주월1동,광주광역시,남구,광주광역시 남구 회재로1186번길 7
지유명차광주점,음식,비알코올 ,학운동,광주광역시,동구,광주광역시 동구 운림길 57-11
