bizesNm,indsLclsNm,indsMclsNm,adongNm,sigunguNm,sigunguDetailNm,rdnAdr
돼지창고,음식,한식,부주동,전라남도,목포시,전라남도 목포시 당가두로 24
베스킨라빈스풍덕점,음식,기타 간이,풍덕동,전라남도,순천시,전라남도 순천시 팔마로 222
하얀빨래방,수리·개인,세탁,완도읍,전라남도,완도군,전라남도 완도군 완도읍 개포로62번길 15
알찬하루,음식,한식,원산동,전라남도,목포시,전라남도 목포시 원산중앙로 16
윤목공방,소매,기타 생활용품 소매,소라면,전라남도,여수시,전라남도 여수시 소라면 하금길 17-7
학사건강원,소매,식료품 소매,구례읍,전라남도,구례군,전라남도 구례군 구례읍 구례로 529
카페비스타,음식,비알코올 ,대전면,전라남도,담양군,전라남도 담양군 대전면 병풍로 377
여성크로커다일,소매,섬유·의복·신발 소매,신흥동,전라남도,목포시,전라남도 목포시 비파로43번길 19
상사건강원,소매,식료품 소매,상사면,전라남도,순천시,전라남도 순천시 상사면 상사호길 319
조은의상실,수리·개인,기타 가정용품 수리,장천동,전라남도,순천시,전라남도 순천시 이수로 7-2
워크앤피플,교육,기타 교육,빛가람동,전라남도,나주시,전라남도 나주시 교육길 13
신비너스,예술·스포츠,유원지·오락,하당동,전라남도,목포시,전라남도 목포시 백년대로337번길 20
탑컴퓨터,수리·개인,컴퓨터 수리,지도읍,전라남도,신안군,전라남도 신안군 지도읍 지도증도로 4-2
소명약국,소매,의약·화장품 소매,관산읍,전라남도,장흥군,전라남도 장흥군 관산읍 관산로 89
수산얼음,소매,음료 소매,대교동,전라남도,여수시,전라남도 여수시 봉산2로 8
호유,소매,오락용품 소매,중앙동,전라남도,여수시,전라남도 여수시 진남상가길 16
호남원예사,소매,기타 상품 소매,무안읍,전라남도,무안군,전라남도 무안군 무안읍 무안중앙로 37
쌍마자동차공업사,수리·개인,자동차 수리·세차,충무동,전라남도,여수시,전라남도 여수시 연등1길 171
바다속풍경,음식,한식,노화읍,전라남도,완도군,전라남도 완도군 노화읍 노화로 888-2
장안홍어,소매,식료품 소매,무안읍,전라남도,무안군,전라남도 무안군 무안읍 승달로 11
섬진식당,음식,한식,고달면,전라남도,곡성군,전라남도 곡성군 고달면 고주로 22
중앙농산,소매,식료품 소매,구례읍,전라남도,구례군,전라남도 구례군 구례읍 5일시장작은길 20
삼일소독환경공사,시설관리·임대,청소·방제,해남읍,전라남도,해남군,전라남도 해남군 해남읍 중앙1로 198
초이스쌤수학교습소,교육,일반 교육,완도읍,전라남도,완도군,전라남도 완도군 완도읍 개포로135번길 32-22
한양내과의원,보건의료,의원,화순읍,전라남도,화순군,전라남도 화순군 화순읍 자치샘로 36
부여장묘관리,수리·개인,장례식장 ,산동면,전라남도,구례군,전라남도 구례군 산동면 신학하신길 42
만세식당,음식,한식,중앙동,전라남도,여수시,전라남도 여수시 여객선터미널길 18-1
금강스포츠센터,예술·스포츠,스포츠 서비스,광양읍,전라남도,광양시,전라남도 광양시 광양읍 서북3길 24
미니스톱강진,소매,종합 소매,강진읍,전라남도,강진군,전라남도 강진군 강진읍 영랑로4길 4
송광대중음식점,음식,한식,송광면,전라남도,순천시,전라남도 순천시 송광면 송광사길 412
한일오토바이,소매,모터사이클 소매,대교동,전라남도,여수시,전라남도 여수시 대교로 66
한솔여서점,수리·개인,욕탕·신체관리,여서동,전라남도,여수시,전라남도 여수시 여문1로 49
항상위하여,음식,한식,쌍봉동,전라남도,여수시,전라남도 여수시 시청동3길 17
콩시루웅천점,음식,한식,시전동,전라남도,여수시,전라남도 여수시 웅남1길 6-4
