month,region,district,industry,age_group,payment_amount,transaction_count,avg_ticket,event_participation,revisit_rate,merchant_count
2025-01,수원시 팔달구,행궁동,한식/분식,20대,695077,44,15797,미참여,0.409,22
2025-01,수원시 팔달구,행궁동,한식/분식,30대,610316,34,17950,미참여,0.388,29
2025-01,수원시 팔달구,행궁동,한식/분식,40대,537900,35,15368,미참여,0.275,18
2025-01,수원시 팔달구,행궁동,한식/분식,50대,606895,42,14449,미참여,0.562,22
2025-01,수원시 팔달구,행궁동,한식/분식,60대 이상,453398,36,12594,미참여,0.326,27
2025-01,수원시 팔달구,행궁동,카페/디저트,20대,302893,36,8413,미참여,0.349,10
2025-01,수원시 팔달구,행궁동,카페/디저트,30대,190868,22,8675,미참여,0.23,19
2025-01,수원시 팔달구,행궁동,카페/디저트,40대,152256,20,7612,미참여,0.34,15
2025-01,수원시 팔달구,행궁동,카페/디저트,50대,211643,26,8140,미참여,0.381,5
2025-01,수원시 팔달구,행궁동,카페/디저트,60대 이상,142897,14,10206,미참여,0.289,22
2025-01,수원시 팔달구,행궁동,신선식품,20대,1034430,42,24629,미참여,0.354,17
2025-01,수원시 팔달구,행궁동,신선식품,30대,906938,37,24511,미참여,0.33,10
2025-01,수원시 팔달구,행궁동,신선식품,40대,1658062,57,29088,미참여,0.463,14
2025-01,수원시 팔달구,행궁동,신선식품,50대,1847822,63,29330,미참여,0.194,26
2025-01,수원시 팔달구,행궁동,신선식품,60대 이상,1276419,48,26592,미참여,0.563,15
2025-01,수원시 팔달구,행궁동,생활용품,20대,482849,24,20118,미참여,0.432,24
2025-01,수원시 팔달구,행궁동,생활용품,30대,1219203,52,23446,미참여,0.287,18
2025-01,수원시 팔달구,행궁동,생활용품,40대,814507,31,26274,미참여,0.35,19
2025-01,수원시 팔달구,행궁동,생활용품,50대,650130,30,21671,미참여,0.335,24
2025-01,수원시 팔달구,행궁동,생활용품,60대 이상,1008312,37,27251,미참여,0.177,21
2025-01,수원시 팔달구,행궁동,의류/잡화,20대,772537,21,36787,미참여,0.333,20
2025-01,수원시 팔달구,행궁동,의류/잡화,30대,563359,17,33138,미참여,0.453,23
2025-01,수원시 팔달구,행궁동,의류/잡화,40대,540431,14,38602,미참여,0.403,33
2025-01,수원시 팔달구,행궁동,의류/잡화,50대,456270,12,38022,미참여,0.21,18
