bizesNm,indsLclsNm,indsMclsNm,indsScnm,sigunguNm,sigunguDetailNm,adongNm,lnAdr,rdnAdr
다빈치모텔,숙박,일반 숙박,여관/모텔,강원특별자치도,강릉시,강동면,강원특별자치도 강릉시 강동면 정동진리 50-27,강원특별자치도 강릉시 강동면 헌화로 920-40
디자인바다,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,강원특별자치도,강릉시,포남1동,강원특별자치도 강릉시 포남동 1237-3,강원특별자치도 강릉시 성덕포남로200번길 3
수리봉약선요리,음식,한식,백반/한정식,강원특별자치도,원주시,흥업면,강원특별자치도 원주시 흥업면 흥업리 204-1,강원특별자치도 원주시 흥업면 자재기길 65-2
욜로빈티지,소매,섬유·의복·신발 소매,여성 의류 소매업,강원특별자치도,강릉시,중앙동,강원특별자치도 강릉시 임당동 142-3,강원특별자치도 강릉시 경강로 2079
보라펜션,숙박,일반 숙박,펜션,강원특별자치도,삼척시,근덕면,강원특별자치도 삼척시 근덕면 장호리 225,강원특별자치도 삼척시 근덕면 장호1길 23
북스타문고,소매,오락용품 소매,서점,강원특별자치도,원주시,단계동,강원특별자치도 원주시 단계동 1120-1,강원특별자치도 원주시 서원대로 121-1
봄내치킨앤떡볶이,음식,기타 간이,김밥/만두/분식,강원특별자치도,춘천시,석사동,강원특별자치도 춘천시 석사동 820,강원특별자치도 춘천시 퇴계로 220-19
보리밭,음식,한식,백반/한정식,강원특별자치도,동해시,삼화동,강원특별자치도 동해시 삼화동 858-1,강원특별자치도 동해시 삼화로 527-7
썬모텔,숙박,일반 숙박,여관/모텔,강원특별자치도,원주시,흥업면,강원특별자치도 원주시 흥업면 매지리 1856-5,강원특별자치도 원주시 흥업면 북원로 975
하송충전소,소매,연료 소매,가스 충전소,강원특별자치도,영월군,영월읍,강원특별자치도 영월군 영월읍 하송리 294-6,강원특별자치도 영월군 영월읍 청령포로 12-6
영재미용실,수리·개인,이용·미용,미용실,강원특별자치도,강릉시,옥계면,강원특별자치도 강릉시 옥계면 현내리 414-53,강원특별자치도 강릉시 옥계면 현내시장길 88
윤슬약국,소매,의약·화장품 소매,약국,강원특별자치도,춘천시,석사동,강원특별자치도 춘천시 석사동 803,강원특별자치도 춘천시 후석로 7
깐순이식당,음식,한식,백반/한정식,강원특별자치도,횡성군,횡성읍,강원특별자치도 횡성군 횡성읍 읍상리 380,강원특별자치도 횡성군 횡성읍 태기로19번길 30
잉크충전잉크스테이션,소매,가전·통신 소매,컴퓨터/소프트웨어 소매업,강원특별자치도,홍천군,홍천읍,강원특별자치도 홍천군 홍천읍 희망리 354-17,강원특별자치도 홍천군 홍천읍 홍천로3길 17
옥헤어라인,수리·개인,이용·미용,미용실,강원특별자치도,속초시,금호동,강원특별자치도 속초시 중앙동 471-4,강원특별자치도 속초시 중앙로147번길 16
안녕바다1,숙박,일반 숙박,펜션,강원특별자치도,삼척시,근덕면,강원특별자치도 삼척시 근덕면 동막리 산 32-4,강원특별자치도 삼척시 근덕면 공양왕길 720-27
오엔국수,음식,한식,국수/칼국수,강원특별자치도,춘천시,효자3동,강원특별자치도 춘천시 효자동 628-1,강원특별자치도 춘천시 서부대성로227번길 4
이브PC방,예술·스포츠,유원지·오락,PC방,강원특별자치도,원주시,원인동,강원특별자치도 원주시 원동 88-2,강원특별자치도 원주시 원일로 23
청호나이스렌탈,시설관리·임대,가정용품 대여,기타 개인/가정용품 대여업,강원특별자치도,동해시,천곡동,강원특별자치도 동해시 평릉동 158-2,강원특별자치도 동해시 동해대로 5464
